Ticker,Amount,Volume,Profit,Consumed
AAR,30.200000000000003,382968.2384390638,-41654.793257103476,13.099999999999998
ABH,653.5333333333336,28594288.327639475,454132.56629589177,43.397165242165244
ACS,10.966666666666663,1827319.1648900963,209607.15056060307,14.3
ADE,392.33333333333303,15916994.548354162,1750049.247828322,33.11650997150997
ADR,15.333333333333332,1085254.506111869,168936.16792478514,7.7
ADS,11.46666666666666,1488299.2938941573,332588.2050439112,0
AEF,450.2000000000003,2987000.4815985286,1528793.5856809733,0
AEN,0.26666666666666666,537789.7252186381,436314.9383914162,0
AFP,3.633333333333333,108999.99999999999,-871721.9301952972,3.466666666666667
AFR,16.93333333333333,291532.28144755535,34785.3303040071,21.6
AGS,0.5333333333333333,243302.01292592593,57636.16102796396,0
AHP,98.26666666666667,1007278.3215551195,-47170.799375535906,0
AIR,39.56666666666666,7918487.30523839,1217514.624060035,6.933333333333334
ALE,4258.400000000001,6351144.593158956,3338163.4006054983,3753.2900230769214
ALG,7633.599999999993,2443782.8262176644,1239374.9165463902,6300.937984496112
ALO,46505.200000000026,9112372.281557705,7205740.84477653,45160.87666666667
AL,28492.666666666668,30557420.062633723,9333615.376319965,27679.951
AMM,12078.833333333338,1387207.517340606,726926.2770212817,10919.233333333334
ANZ,1.1666666666666667,0.0,-118976.73289475539,1.0666666666666667
APT,86.4,1640890.314711915,580870.9720595186,0
ARP,0.3333333333333333,3000.0,418.6072469642755,0
AR,3809.2000000000007,1199075.4097035292,1013669.9580123752,2176.0666666666666
ASE,444.5333333333336,16016073.910538444,4303156.740962081,40.70592763532764
AST,1000.2666666666668,1794244.877218077,-52910.82589235789,992.4
ATA,179.16666666666657,4789852.922202472,1598553.979891466,3.8263612535612537
ATP,66.4,1738117.6470588236,155441.58307487104,72.33333333333334
AUO,2177.666666666666,1093834.1464299324,974793.4735446885,1436.1999999999998
AU,957.4666666666665,2721821.846412235,1354277.8344342902,810.266666666667
AWF,18.000000000000004,125412.33180357965,34520.13718802293,7.333333333333332
AWH,92.33333333333334,1976858.7512671696,555265.2501765119,0
BAC,306.33333333333326,696704.2642536608,398168.1523185201,104.5
BAI,120.99999999999996,1600320.2575962534,872859.2542189906,113.46666666666665
BBH,2793.266666666661,7048219.880885589,748531.5951768922,2068.8164304517713
